model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-4o-mini-2024-07-18	KEGG_2021_Human	PI3K-Akt signaling pathway	PI3K-Akt signaling pathway	PI3K-Akt signaling pathway, EGF signaling pathway, Extracellular matrix organization, Cytokine signaling in immune system	1.0	1.0	0.9999989494267874	llm2geneset	2395	1790
gpt-4o-mini-2024-07-18	KEGG_2021_Human	PPAR signaling pathway	PPAR signaling pathway	Lipid Metabolism, Fatty Acid Metabolism, Ketone Body Metabolism, Adipocyte Differentiation, Peroxisome Biogenesis	0.0	0.0	0.43349336451939513	llm2geneset	1278	1449
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pancreatic cancer	Pancreatic cancer	PI3K-Akt signaling pathway, TGF-beta signaling pathway, MAPK signaling pathway, Apoptosis signaling pathway, Cell cycle regulation	0.0	0.0	0.28648182461485694	llm2geneset	1285	1361
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pancreatic secretion	Pancreatic secretion	Calcium signaling, Salivary secretion, Acid secretion	0.5	0.0	0.6409921528117568	llm2geneset	1419	1235
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	1.0	1.0	0.9999989317350536	llm2geneset	1086	1235
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	Parathyroid hormone synthesis, secretion and action	Calcium signaling pathway, Cyclic nucleotide metabolism, Osteoblast differentiation, Fibroblast growth factor signaling pathway, G-protein coupled receptor signaling pathway	0.0	0.0	0.3368443556888102	llm2geneset	1407	2588
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Parkinson disease	Parkinson disease	Mitochondrial oxidative phosphorylation, Regulation of protein degradation by the proteasome, Apoptotic process, Endoplasmic reticulum stress response	0.0	0.0	0.26108707856102564	llm2geneset	2041	1769
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pathogenic Escherichia coli infection	Pathogenic Escherichia coli infection	Cytoskeleton organization, Apoptotic signaling pathway, Immune system signaling, Inflammatory response, Cell adhesion	0.0	0.0	0.25876431410594286	llm2geneset	1758	1487
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pathways in cancer	Pathways in cancer	Wnt Signaling Pathway, Apoptosis, Cytokine Signaling in Immune System, Cell Cycle Regulation, Hypoxia-Inducible Factor (HIF) Signaling Pathway	0.3333333333333333	0.0	0.4766741228232931	llm2geneset	2989	1744
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pathways of neurodegeneration	Pathways of neurodegeneration	Wnt signaling pathway, Apoptosis	0.3333333333333333	0.0	0.39133651181917534	llm2geneset	2908	1444
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	Glucuronidation, Bile acid metabolism, Nucleotide sugar biosynthesis	0.0	0.0	0.5425792126057387	llm2geneset	1175	1446
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pentose phosphate pathway	Pentose phosphate pathway	Pentose phosphate pathway, Glycolysis, Fructose and mannose metabolism	1.0	1.0	0.9994809227297143	llm2geneset	1100	1149
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Peroxisome	Peroxisome	Peroxisome biogenesis, Fatty acid beta-oxidation, Antioxidant defense response, Lipid metabolism	1.0	0.0	0.7314253068600145	llm2geneset	1292	1499
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pertussis	Pertussis	Toll-like receptor signaling pathway, Complement cascade, Cytokine signaling in immune system, NF-kappaB signaling pathway	0.0	0.0	0.21993406832277768	llm2geneset	1273	1525
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phagosome	Phagosome	Antigen processing and presentation, Cytoskeletal organization, Endosomal and lysosomal pathways, Phagocytosis	0.0	0.0	0.6819304036233589	llm2geneset	1666	1813
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phenylalanine metabolism	Phenylalanine metabolism	Amino Acid Metabolism, Monoamine Oxidase Pathway, Glutamate Metabolism, Neurotransmitter Regulation	0.5	0.0	0.6690007513980167	llm2geneset	1068	1629
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	Glutathione metabolism, Glutamate metabolism	0.0	0.0	0.4214661034471536	llm2geneset	1011	1272
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phosphatidylinositol signaling system	Phosphatidylinositol signaling system	Phosphoinositide metabolism, Regulation of phosphatidylinositol 4,5-bisphosphate (PIP2) levels, Calcium signaling pathway, Phosphatidylinositol signaling pathway, PI3K-Akt signaling pathway	0.6666666666666666	0.5	0.8909819114308993	llm2geneset	1471	1515
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phospholipase D signaling pathway	Phospholipase D signaling pathway	Extracellular Signal-Regulated Kinase (ERK) Signaling Pathway, Receptor Tyrosine Kinase Signaling, Insulin Signaling Pathway, Phosphoinositide 3-Kinase (PI3K) Pathway, Phospholipase C (PLC) Pathway	0.5	0.3333333333333333	0.7119914891645971	llm2geneset	1655	1344
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phosphonate and phosphinate metabolism	Phosphonate and phosphinate metabolism	Phosphatidylcholine biosynthesis, Glycerophospholipid metabolism	0.25	0.0	0.5423770410205984	llm2geneset	1031	1493
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phototransduction	Phototransduction	Visual signal transduction, Rhodopsin signaling pathway, Phototransduction, G protein-coupled receptor signaling pathway	1.0	0.0	0.9999990174797326	llm2geneset	1110	1602
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Platelet activation	Platelet activation	Cyclic nucleotide signaling pathway, Calcium signaling pathway, PI3K-Akt signaling pathway	0.0	0.0	0.39793212160579394	llm2geneset	1526	1705
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	Bilirubin metabolism, Heme biosynthesis	0.25	0.0	0.593617980743703	llm2geneset	1199	922
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Primary bile acid biosynthesis	Primary bile acid biosynthesis	Bile acid biosynthesis, Cholesterol metabolism	0.75	0.6666666666666666	0.911005932195077	llm2geneset	1074	1493
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Primary immunodeficiency	Primary immunodeficiency	Regulation of lymphocyte activation and differentiation, T cell receptor signaling pathway, B cell receptor signaling pathway, Antigen processing and presentation	0.0	0.0	0.35446011129468635	llm2geneset	1140	1624
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Prion disease	Prion disease	Oxidative Phosphorylation, MAPK Signaling Pathway, Apoptosis	0.0	0.0	0.33631405023447747	llm2geneset	2131	1985
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Progesterone-mediated oocyte maturation	Progesterone-mediated oocyte maturation	MAPK Signaling Pathway, Cell Cycle Regulation, Phosphatidylinositol Signaling System, Anaphase Promoting Complex (APC/C) Activation	0.0	0.0	0.3374404269819131	llm2geneset	1439	1398
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Prolactin signaling pathway	Prolactin signaling pathway	PI3K-Akt signaling pathway, MAPK signaling pathway, Prolactin signaling pathway, Cytokine signaling in immune system, Insulin signaling pathway	1.0	1.0	0.9999024431885881	llm2geneset	1271	1503
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Propanoate metabolism	Propanoate metabolism	Propanoate metabolism, Branched-chain amino acid catabolism, Fatty acid oxidation, Succinyl-CoA biosynthetic process	1.0	1.0	0.9999987851428036	llm2geneset	1132	956
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Prostate cancer	Prostate cancer	PI3K-Akt signaling pathway, FGFR signaling pathway, Cell cycle regulation, Apoptosis signaling pathway, TRAF6-mediated NF-kB activation	0.0	0.0	0.24561278871201228	llm2geneset	1392	1620
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Proteasome	Proteasome	Proteasome-mediated ubiquitin-dependent protein catabolic process, Protein degradation via the ubiquitin-proteasome pathway, Antigen processing and presentation via MHC class I	1.0	0.0	0.6616537270468017	llm2geneset	1238	1761
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Protein digestion and absorption	Protein digestion and absorption	Collagen synthesis and turnover, Extracellular matrix organization, Ion transport and homeostasis, Proteolysis and protein digestion	0.75	0.3333333333333333	0.6903809875021696	llm2geneset	1473	1802
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Protein export	Protein export	Protein targeting to the Endoplasmic Reticulum, Signal recognition particle (SRP) pathway, Sec61-dependent protein translocation, Translocon complex in the endoplasmic reticulum	0.5	0.0	0.5245813002043304	llm2geneset	1124	1539
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Protein processing in endoplasmic reticulum	Protein processing in endoplasmic reticulum	Endoplasmic Reticulum Protein Processing, Unfolded Protein Response, HSP90 Chaperone Cycle	0.8	0.5	0.8296667697572142	llm2geneset	1703	1563
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Proteoglycans in cancer	Proteoglycans in cancer	MAPK signaling pathway, Wnt signaling pathway, TGF-beta signaling pathway, Insulin signaling pathway, Hedgehog signaling pathway	0.0	0.0	0.2999993685321858	llm2geneset	1753	1993
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Proximal tubule bicarbonate reclamation	Proximal tubule bicarbonate reclamation	Sodium ion transport, Carbon dioxide transport, Glutamate metabolism	0.0	0.0	0.34974666156348644	llm2geneset	1080	1203
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Purine metabolism	Purine metabolism	Cyclic nucleotide signaling pathway, Purine metabolism, Adenosine metabolism, Pyrimidine metabolism	1.0	1.0	0.9999990075921658	llm2geneset	1488	1308
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pyrimidine metabolism	Pyrimidine metabolism	Deoxyribonucleotide biosynthetic process, Pyrimidine nucleotide biosynthetic process, Nucleotide salvage pathway, Purine metabolism	0.5	0.0	0.7790278360120734	llm2geneset	1219	980
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism, Alcohol metabolism, Citric acid cycle (Krebs cycle), Fatty acid metabolism	1.0	1.0	0.9999984827554739	llm2geneset	1177	1266
gpt-4o-mini-2024-07-18	KEGG_2021_Human	RIG-I-like receptor signaling pathway	RIG-I-like receptor signaling pathway	NF-kappaB Signaling Pathway, Type I Interferon Signaling Pathway, Apoptosis Signaling Pathway, Inflammatory Response	0.5	0.2	0.6037007178435423	llm2geneset	1275	1530
gpt-4o-mini-2024-07-18	KEGG_2021_Human	RNA degradation	RNA degradation	mRNA decay, Nonsense-mediated decay, RNA processing	0.5	0.0	0.7689314491333022	llm2geneset	1276	1496
gpt-4o-mini-2024-07-18	KEGG_2021_Human	RNA polymerase	RNA polymerase	Transcription initiation from RNA polymerase III promoter, RNA Polymerase I transcription	1.0	1.0	0.7401842324653256	llm2geneset	1167	1600
gpt-4o-mini-2024-07-18	KEGG_2021_Human	RNA transport	RNA transport	Nuclear transport, Translation initiation, RNA metabolism	0.5	0.0	0.7954700382616607	llm2geneset	1741	1784
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Rap1 signaling pathway	Rap1 signaling pathway	MAPK signaling pathway, Angiogenesis, EGF signaling pathway, Cell adhesion, Neurotrophin signaling	0.6666666666666666	0.5	0.6176877879428457	llm2geneset	1797	1407
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Ras signaling pathway	Ras signaling pathway	Phosphoinositide 3-kinase (PI3K) signaling pathway, Neurotrophin signaling pathway, MAPK signaling pathway, EGFR signaling pathway, Rho GTPase cycle	0.6666666666666666	0.5	0.6033029082356826	llm2geneset	1938	1742
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Regulation of actin cytoskeleton	Regulation of actin cytoskeleton	Integrin signaling pathway, Actin cytoskeleton organization, Phosphoinositide 3-kinase signaling pathway, Platelet-derived growth factor receptor signaling pathway, EGF receptor signaling pathway	0.5	0.3333333333333333	0.7137253045267727	llm2geneset	1892	1644
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Regulation of lipolysis in adipocytes	Regulation of lipolysis in adipocytes	Insulin signaling pathway, cAMP signaling pathway, Fatty acid metabolism	0.0	0.0	0.4614904040883076	llm2geneset	1210	1295
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Relaxin signaling pathway	Relaxin signaling pathway	MAPK signaling cascade, Collagen biosynthesis and modifying enzymes, Cyclic nucleotide signaling pathway, TGF-beta signaling pathway	0.6666666666666666	0.5	0.5664032675517624	llm2geneset	1516	1488
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Renal cell carcinoma	Renal cell carcinoma	Ras signaling pathway, PI3K-Akt signaling pathway, Hypoxia inducible factor (HIF) signaling pathway, TGF-beta signaling pathway	0.0	0.0	0.3966151573247727	llm2geneset	1263	1538
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Renin secretion	Renin secretion	Calcium signaling pathway, Cyclic nucleotide phosphodiesterase activity, Renin-angiotensin system, G protein-coupled receptor signaling pathway, Nitric oxide signaling pathway	0.5	0.0	0.6054977950652871	llm2geneset	1294	1698
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Renin-angiotensin system	Renin-angiotensin system	Renin-angiotensin system	1.0	1.0	0.9999989794112126	llm2geneset	1081	1011
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Retinol metabolism	Retinol metabolism	Metabolism of xenobiotics by cytochrome P450, Drug metabolism and pharmacokinetics, Retinoid metabolism	0.5	0.0	0.894578819305364	llm2geneset	1354	1608
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Retrograde endocannabinoid signaling	Retrograde endocannabinoid signaling	GABAergic synapse, Neurotransmitter receptor signaling pathway, Cyclic nucleotide signaling pathway, MAPK signaling pathway, Electron transport chain	0.3333333333333333	0.0	0.4864606198262473	llm2geneset	1575	1707
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Rheumatoid arthritis	Rheumatoid arthritis	Cytokine Signaling in the Immune System, Antigen Processing and Presentation, T cell activation and differentiation, VEGF Signaling Pathway	0.0	0.0	0.23539947638884845	llm2geneset	1451	1761
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Riboflavin metabolism	Riboflavin metabolism	None found.	0.0	0.0	0.13676565416405767	llm2geneset	1042	1485
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Ribosome	Ribosome	Ribosome Biogenesis, Protein Synthesis, Eukaryotic Translation Initiation, Eukaryotic Translational Termination	1.0	0.0	0.6902419100995413	llm2geneset	1626	1862
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Ribosome biogenesis in eukaryotes	Ribosome biogenesis in eukaryotes	Small nucleolar RNA (snoRNA) assembly, Nuclear export of RNA	0.0	0.0	0.47919640888577186	llm2geneset	1426	1736
gpt-4o-mini-2024-07-18	KEGG_2021_Human	SNARE interactions in vesicular transport	SNARE interactions in vesicular transport	SNARE interactions in vesicular transport, Exocytosis, Intracellular protein transport, Membrane trafficking, Vesicle transport	1.0	1.0	0.9999993278824455	llm2geneset	1114	1731
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Salivary secretion	Salivary secretion	Calcium signaling pathway, Signal transduction by cAMP, Adrenergic signaling in cardiomyocytes, cGMP signaling pathway	0.0	0.0	0.25957197895448614	llm2geneset	1390	1910
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Salmonella infection	Salmonella infection	Signal transduction via MAPK pathway, Innate immune response, Cytoskeletal organization, Regulation of apoptosis	0.0	0.0	0.22323452330182075	llm2geneset	1989	1470
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Selenocompound metabolism	Selenocompound metabolism	Selenoamino acid metabolism	0.5	0.0	0.8272906829396214	llm2geneset	1056	897
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Serotonergic synapse	Serotonergic synapse	Serotonin signaling pathway, G protein-coupled receptor signaling pathway, Phospholipase A2 pathway, Mitogen-activated protein kinase (MAPK) signaling pathway, Tryptophan metabolism	0.0	0.0	0.6426233906227821	llm2geneset	1499	2059
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Shigellosis	Shigellosis	Cytoskeletal remodeling and cell motility, Innate immune signaling pathway, Autophagy process, Rho GTPase signaling pathway, Apoptotic signaling pathway	0.0	0.0	0.18392773915219135	llm2geneset	1982	2175
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	Signaling pathways regulating pluripotency of stem cells	Wnt signaling pathway, BMP signaling pathway, MAPK cascade, Cell differentiation, Stem cell maintenance	0.2857142857142857	0.16666666666666666	0.5485774953204012	llm2geneset	1530	1461
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Small cell lung cancer	Small cell lung cancer	Cell Cycle Regulation, Apoptosis Signaling Pathway, PI3K-Akt Signaling Pathway, Integrin Signaling Pathway, Extracellular Matrix Organization	0.25	0.0	0.2584204537759679	llm2geneset	1358	1842
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism, Ceramide biosynthesis, Ganglioside metabolism, Glycosphingolipid biosynthesis	1.0	1.0	1.0000000106297204	llm2geneset	1189	1137
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Sphingolipid signaling pathway	Sphingolipid signaling pathway	Ceramide Metabolism, Phosphoinositide 3-Kinase (PI3K) Pathway, Mitogen-Activated Protein Kinase (MAPK) Pathway, Apoptosis, Rho GTPase Cycle	0.3333333333333333	0.0	0.5957203556969649	llm2geneset	1525	1620
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Spinocerebellar ataxia	Spinocerebellar ataxia	PI3K-Akt signaling pathway, Calcium signaling pathway, Regulation of Apoptosis, Autophagy	0.0	0.0	0.30217320020977056	llm2geneset	1581	1701
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Spliceosome	Spliceosome	Pre-mRNA splicing, RNA processing, mRNA splicing, Nuclear RNA transport	0.0	0.0	0.564131164898399	llm2geneset	1599	1576
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Staphylococcus aureus infection	Staphylococcus aureus infection	Keratinization, Complement Activation, Antigen Processing and Presentation, Neutrophil Activation	0.0	0.0	0.2859095879671657	llm2geneset	1335	1780
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Starch and sucrose metabolism	Starch and sucrose metabolism	Glycogen Metabolism, Glucose Metabolism, Carbohydrate Metabolism, Glycolysis	0.25	0.0	0.6351912560686239	llm2geneset	1129	1700
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Steroid biosynthesis	Steroid biosynthesis	Cholesterol biosynthesis, Vitamin D metabolism	0.5	0.0	0.7743624088612227	llm2geneset	1069	1397
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Steroid hormone biosynthesis	Steroid hormone biosynthesis	Steroid metabolic process, Metabolism of drugs and xenobiotics by cytochrome P450, Steroid hormone biosynthesis	1.0	1.0	0.9999988023623078	llm2geneset	1349	1278
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Sulfur metabolism	Sulfur metabolism	None found.	0.0	0.0	0.1549074198808123	llm2geneset	1047	986
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Sulfur relay system	Sulfur relay system	Molybdenum Cofactor Biosynthesis	0.0	0.0	0.3586092811443517	llm2geneset	1045	1144
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Synaptic vesicle cycle	Synaptic vesicle cycle	Synaptic Vesicle Cycle, Neurotransmitter Release, Vesicle-mediated Transport, Endocytosis	1.0	1.0	0.9999990434790367	llm2geneset	1384	1884
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Synthesis and degradation of ketone bodies	Synthesis and degradation of ketone bodies	Ketone body metabolism, Acetoacetate metabolic process, HMG-CoA signaling pathway	0.3333333333333333	0.2	0.6774685523911241	llm2geneset	1039	1038
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Systemic lupus erythematosus	Systemic lupus erythematosus	Antigen processing and presentation, Cytokine signaling in adaptive immunity	0.0	0.0	0.24912506037039425	llm2geneset	1527	1652
gpt-4o-mini-2024-07-18	KEGG_2021_Human	T cell receptor signaling pathway	T cell receptor signaling pathway	T cell receptor signaling pathway, Phosphoinositide 3-kinase (PI3K) signaling pathway, Mitogen-activated protein kinase (MAPK) signaling pathway, Cytokine signaling in immune system	1.0	1.0	1.0000000520439811	llm2geneset	1439	1571
gpt-4o-mini-2024-07-18	KEGG_2021_Human	TGF-beta signaling pathway	TGF-beta signaling pathway	BMP signaling pathway, Regulation of gene expression by SMAD proteins, SMAD protein signaling pathway, TGF-beta signaling pathway	1.0	1.0	0.9999989905003379	llm2geneset	1353	1593
gpt-4o-mini-2024-07-18	KEGG_2021_Human	TNF signaling pathway	TNF signaling pathway	NF-kappa B Signaling Pathway, Apoptosis, MAPK Signaling Pathway, Cellular Response to Stress, Cytokine Signaling in Immune System	0.6666666666666666	0.5	0.7373772259494201	llm2geneset	1456	1582
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Taste transduction	Taste transduction	Taste receptor signaling pathway, GABAergic signaling pathway, Signal transduction pathways involving G protein-coupled receptors, Neurotransmitter receptor activity, Calcium signaling pathway	0.5	0.0	0.7088888366395447	llm2geneset	1402	1865
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	None found.	0.0	0.0	0.16130379882017248	llm2geneset	1041	1092
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Terpenoid backbone biosynthesis	Terpenoid backbone biosynthesis	Mevalonate pathway, Isoprenoid biosynthesis, Squalene biosynthesis, Cholesterol biosynthesis, Farnesylation process	0.3333333333333333	0.0	0.7624507147293178	llm2geneset	1074	839
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Th1 and Th2 cell differentiation	Th1 and Th2 cell differentiation	JAK-STAT Signaling Pathway, Notch Signaling Pathway, T Cell Receptor Signaling Pathway, Cytokine Signaling in Immune System, NF-kB Signaling Pathway	0.2	0.0	0.4383784655045772	llm2geneset	1381	1213
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Th17 cell differentiation	Th17 cell differentiation	Cytokine signaling in immune system, Immune response regulating network, MAPK signaling pathway, TGF-beta signaling pathway, HLA class II antigen presentation	0.0	0.0	0.40697405529542036	llm2geneset	1421	1436
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Thermogenesis	Thermogenesis	NADH Dehydrogenase Complex Assembly, ATP Synthesis in Mitochondria, Fatty Acid Metabolism, Signal Transduction Pathway	0.0	0.0	0.36277296295619793	llm2geneset	2000	1858
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Thiamine metabolism	Thiamine metabolism	None found.	0.0	0.0	0.14815313543844116	llm2geneset	1048	1469
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Thyroid cancer	Thyroid cancer	MAPK signaling pathway, Wnt signaling pathway, Cell cycle regulation, Nerve growth factor signaling pathway, Apoptosis	0.0	0.0	0.34462751850434964	llm2geneset	1124	1727
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Thyroid hormone signaling pathway	Thyroid hormone signaling pathway	Insulin signaling pathway, Ion transport and homeostasis, Regulation of gene expression, Apoptosis, Wnt signaling pathway	0.5	0.3333333333333333	0.6752158222084024	llm2geneset	1465	1764
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Thyroid hormone synthesis	Thyroid hormone synthesis	cAMP signaling pathway, Calcium signaling pathway, Protein processing in the endoplasmic reticulum	0.0	0.0	0.3107819683693501	llm2geneset	1306	1530
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Tight junction	Tight junction	Actin Cytoskeleton Regulation, Cadherin Signaling	0.0	0.0	0.3999249416750032	llm2geneset	1691	1624
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Toll-like receptor signaling pathway	Toll-like receptor signaling pathway	Toll-like Receptor Signaling Pathway, Cytokine Signaling in the Immune System, Interferon Signaling Pathway, NF-kB Signaling Pathway, MAPK Signaling Pathway	1.0	1.0	1.000000083520053	llm2geneset	1447	1479
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Toxoplasmosis	Toxoplasmosis	NF-kB signaling pathway, Cytokine signaling in the immune system, Apoptosis signaling pathway, MAPK signaling pathway, TGF-beta signaling pathway	0.0	0.0	0.22543855995724738	llm2geneset	1433	1648
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Transcriptional misregulation in cancer	Transcriptional misregulation in cancer	 hematopoietic cell lineage,  apoptosis,  transcriptional regulation,  cell cycle regulation	0.25	0.0	0.6541364482779797	llm2geneset	1689	1723
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	1.0	1.0	0.9999185803552173	llm2geneset	1166	1146
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Tuberculosis	Tuberculosis	Cytokine signaling in the immune system, Apoptosis pathway, MAPK signaling pathway, Antigen processing and presentation, TGF-beta signaling pathway	0.0	0.0	0.24397099575976527	llm2geneset	1718	1661
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Type I diabetes mellitus	Type I diabetes mellitus	Antigen processing and presentation, Cytokine signaling in immune system, Immune response, Apoptosis	0.0	0.0	0.27987841582474493	llm2geneset	1152	1506
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Type II diabetes mellitus	Type II diabetes mellitus	Insulin signaling pathway, Adipocytokine signaling pathway, Glucose metabolism, MAPK signaling pathway	0.0	0.0	0.3802659782859962	llm2geneset	1176	1814
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Tyrosine metabolism	Tyrosine metabolism	Catecholamine biosynthesis, Dopamine metabolism, Amino acid metabolism, Melanin biosynthesis	0.5	0.0	0.6176153317277917	llm2geneset	1122	1147
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Ubiquinone and other terpenoid-quinone biosynthesis	Ubiquinone and other terpenoid-quinone biosynthesis	Ubiquinone biosynthesis, Vitamin K metabolism, Cofactor metabolism	0.3333333333333333	0.0	0.8346176842226695	llm2geneset	1070	1091
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Ubiquitin mediated proteolysis	Ubiquitin mediated proteolysis	Protein ubiquitination, Ubiquitin-proteasome pathway	0.3333333333333333	0.0	0.70690078981379	llm2geneset	1530	1863
gpt-4o-mini-2024-07-18	KEGG_2021_Human	VEGF signaling pathway	VEGF signaling pathway	MAPK signaling pathway, PI3K-Akt signaling pathway, VEGF signaling pathway, Phospholipase pathway	1.0	1.0	0.9999994822046256	llm2geneset	1250	1290
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	Branched-chain amino acid catabolic process, Valine, leucine and isoleucine degradation, Fatty acid beta-oxidation, Lysine degradation	1.0	1.0	0.9999992466869482	llm2geneset	1203	848
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis	N-linked glycosylation, Glycan biosynthesis, Mannosylation, Glycoprotein metabolism	0.3333333333333333	0.2	0.7521730845275705	llm2geneset	1154	1801
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Vascular smooth muscle contraction	Vascular smooth muscle contraction	Calcium signaling pathway, Regulation of blood pressure, Adrenoceptor signaling pathway, Nitric oxide signaling pathway	0.0	0.0	0.4126118077529767	llm2geneset	1583	1959
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Vasopressin-regulated water reabsorption	Vasopressin-regulated water reabsorption	RAB (Ras-like) protein signaling pathway, Endocytosis	0.0	0.0	0.29392828170992913	llm2geneset	1199	2326
